DpsMedian;NameProfileset;Spec;Covenant;Talents;Targets;Legendary;Int;Haste;Crit;Mastery;Versatility
10033,080840543755;Emeni - EMSkin/GrToes/CLegs/LbExample/IP:7/IB:7/GS:7;Frost;NEC;2032021;3;none;1250;750;700;200;200
9956,0178898206741;Emeni - EMSkin/GrToes/CLegs/LbExample/UC:7/IB:7/GS:7;Frost;NEC;2032021;3;none;1250;750;700;200;200
9910,8804852325065;Korayn - HotWH/FYFoes/GIForm/WHTactics/IP:7/IB:7;Frost;FAE;2032021;3;none;1250;750;700;200;200
9860,5450050068484;Theotar - LGait/ToApprec/LotParty/WProp/IP:7/IB:7/GS:7;Frost;VEN;2032021;3;none;1250;750;700;200;200
9856,7778084305555;Nadjia - AChaos/FiLPlaces/FPredic/TSeeker/IP:7/IB:7/GS:7;Frost;VEN;2032021;3;none;1250;750;700;200;200
9796,81403498234;Pelagos - LGtP/FMantra/BfFriend/CMed/IP:7/IB:7;Frost;KYR;2032021;3;none;1250;750;700;200;200
9794,2938700236027;Pelagos - LGtP/FMantra/BfFriend/CMed/IP:7/IB:7/GS:7;Frost;KYR;2032021;3;none;1250;750;700;200;200
9720,9428054941018;Dream - FoBloss/SVoice/FDust/Ptender/IP:7/IB:7;Frost;FAE;2032021;3;none;1250;750;700;200;200
9699,76583338705;Dream - FoBloss/SVoice/FDust/Ptender/IP:7/IB:7/GS:7;Frost;FAE;2032021;3;none;1250;750;700;200;200
9681,0902754330382;Draven - ELeader/HYGround/MAOne/SIStone/IP:7/IB:7;Frost;VEN;2032021;3;none;1250;750;700;200;200
9675,4008572499824;Draven - ELeader/HYGround/EGloom/SIStone/IP:7/IB:7/GS:7;Frost;VEN;2032021;3;none;1250;750;700;200;200
9671,7055063000262;Niya - RWTiring/NTPoison/SPatrol/GInvigor/IP:7/IB:7/GS:7;Frost;FAE;2032021;3;none;1250;750;700;200;200
9659,35273942523;Pelagos - LGtP/FMantra/BfFriend/CMed/UC:7/IB:7;Frost;KYR;2032021;3;none;1250;750;700;200;200
9633,4223724255717;Pelagos - LGtP/FMantra/BfFriend/CMed/UC:7/IB:7/GS:7;Frost;KYR;2032021;3;none;1250;750;700;200;200
