DpsMedian;NameProfileset;Spec;Covenant;Talents;Targets;Legendary;Int;Haste;Crit;Mastery;Versatility
5750,7012474106;Nadjia - TSeeker/AChaos/FiLPlaces/IB:4/GS:4;Frost;VEN;2032021;1;none;1250;750;700;200;200
5735,29076498019;Theotar - SShade/LGait/LotParty/IB:4/GS:4;Frost;VEN;2032021;1;none;1250;750;700;200;200
5668,58099912027;Pelagos - CMed/FMantra/BfFriend/IP:4/IB:4;Frost;KYR;2032021;1;none;1250;750;700;200;200
5658,1965274122122;Draven - SIStone/EGloom/ELeader/IB:4/GS:4;Frost;VEN;2032021;1;none;1250;750;700;200;200
5640,1384374894042;Emeni - LbExample/EMSkin/CLegs/IB:4/GS:4;Frost;NEC;2032021;1;none;1250;750;700;200;200
5619,196730770238;Mari - VSolvvent/OFCoat/PCSlime/IP:4/IB:4;Frost;NEC;2032021;1;none;1250;750;700;200;200
5577,765575597009;Dream - Ptender/SVoice/IP:4/IB:4/GS:4;Frost;FAE;2032021;1;none;1250;750;700;200;200
5555,9776575614487;Dream - Ptender/SVoice/IP:4/IB:4;Frost;FAE;2032021;1;none;1250;750;700;200;200
5450,6840184216653;Pelagos - CMed/FMantra/BfFriend/IB:4/IA:4;Frost;KYR;2032021;1;none;1250;750;700;200;200
5405,82101698966;Korayn - WHTactics/HotWH/GIForm/IB:4/GS:4;Frost;FAE;2032021;1;none;1250;750;700;200;200
5382,3525671512034;Pelagos - CMed/FMantra/BfFriend/UC:4/IB:4;Frost;KYR;2032021;1;none;1250;750;700;200;200
5379,9467954520942;Forgelite - BCtAction/FFilter/RPlumage/IB:4/GS:4;Frost;KYR;2032021;1;none;1250;750;700;200;200
5368,8551735591373;Kleia - VStrikes/Mentor/EForward/IB:4/GS:4;Frost;KYR;2032021;1;none;1250;750;700;200;200
5346,2197279906959;Mari - VSolvvent/OFCoat/PCSlime/UC:4/IB:4;Frost;NEC;2032021;1;none;1250;750;700;200;200
5336,4415239331393;Mari - VSolvvent/PPStrike/PCSlime/IB:4/GS:4;Frost;NEC;2032021;1;none;1250;750;700;200;200
5335,8543449422459;Pelagos - CMed/FMantra/BfFriend/SC:4/IB:4;Frost;KYR;2032021;1;none;1250;750;700;200;200
5331,8403494684389;Dream - Ptender/SBfly/IB:4;Frost;FAE;2032021;1;none;1250;750;700;200;200
5316,94387171379;Heirmir - FReveries/RFlesh/RSpurs/IB:4/GS:4;Frost;NEC;2032021;1;none;1250;750;700;200;200
5313,0783581094965;Mari - VSolvvent/OFCoat/PCSlime/SC:4/IB:4;Frost;NEC;2032021;1;none;1250;750;700;200;200
5305,5592137244685;Dream - Ptender/SBfly/IB:4/GS:4;Frost;FAE;2032021;1;none;1250;750;700;200;200
5300,5172124269029;Niya - GInvigor/RWTiring/SPatrol/IB:4/GS:4;Frost;FAE;2032021;1;none;1250;750;700;200;200
5289,0281869850824;Dream - Ptender/SVoice/UC:4/IB:4/GS:4;Frost;FAE;2032021;1;none;1250;750;700;200;200
5282,2737508472337;Nadjia - TSeeker/AChaos/FiLPlaces/IP:4/GS:4;Frost;VEN;2032021;1;none;1250;750;700;200;200
5275,3981410986416;Dream - Ptender/SVoice/UC:4/IB:4;Frost;FAE;2032021;1;none;1250;750;700;200;200
5267,2725039999941;Theotar - SShade/LGait/LotParty/IP:4/GS:4;Frost;VEN;2032021;1;none;1250;750;700;200;200
5245,6484526105978;Dream - Ptender/SVoice/SC:4/IB:4/GS:4;Frost;FAE;2032021;1;none;1250;750;700;200;200
5235,8501651478873;Dream - Ptender/SVoice/IB:4/DG:4/GS:4;Frost;FAE;2032021;1;none;1250;750;700;200;200
5233,2479127300894;Dream - Ptender/SVoice/SC:4/IB:4;Frost;FAE;2032021;1;none;1250;750;700;200;200
5226,9971043901141;Dream - Ptender/SVoice/IB:4/DG:4;Frost;FAE;2032021;1;none;1250;750;700;200;200
5172,3958062749452;Draven - SIStone/EGloom/ELeader/IP:4/GS:4;Frost;VEN;2032021;1;none;1250;750;700;200;200
5098,48329046965;Emeni - LbExample/EMSkin/CLegs/IP:4/GS:4;Frost;NEC;2032021;1;none;1250;750;700;200;200
5017,679051115766;Theotar - SShade/LGait/LotParty/SM:4/GS:4;Frost;VEN;2032021;1;none;1250;750;700;200;200
5009,4296486790936;Nadjia - TSeeker/AChaos/FiLPlaces/SM:4/GS:4;Frost;VEN;2032021;1;none;1250;750;700;200;200
4976,1256770117843;Theotar - SShade/LGait/LotParty/UC:4/GS:4;Frost;VEN;2032021;1;none;1250;750;700;200;200
4960,7344949687113;Pelagos - CMed/FMantra/BfFriend/IP:4/IA:4;Frost;KYR;2032021;1;none;1250;750;700;200;200
4951,1097387590562;Nadjia - TSeeker/AChaos/FiLPlaces/UC:4/GS:4;Frost;VEN;2032021;1;none;1250;750;700;200;200
4927,7289433009291;Theotar - SShade/LGait/LotParty/SC:4/GS:4;Frost;VEN;2032021;1;none;1250;750;700;200;200
4927,5150793341818;Pelagos - CMed/FMantra/BfFriend/UC:4/IP:4;Frost;KYR;2032021;1;none;1250;750;700;200;200
4919,7542125086538;Draven - SIStone/EGloom/ELeader/SM:4/GS:4;Frost;VEN;2032021;1;none;1250;750;700;200;200
4915,0476837055548;Korayn - WHTactics/HotWH/GIForm/IP:4/GS:4;Frost;FAE;2032021;1;none;1250;750;700;200;200
4910,686517443849;Korayn - WHTactics/HotWH/GIForm/DG:4/GS:4;Arcane;FAE;1032021;1;none;1250;750;700;200;200
4908,67354651897;Nadjia - TSeeker/AChaos/FiLPlaces/SC:4/GS:4;Frost;VEN;2032021;1;none;1250;750;700;200;200
4894,1636068161588;Emeni - LbExample/EMSkin/CLegs/UC:4/GS:4;Frost;NEC;2032021;1;none;1250;750;700;200;200
4887,6075379807007;Korayn - WHTactics/HotWH/GIForm/MB:4/GS:4;Arcane;FAE;1032021;1;none;1250;750;700;200;200
4884,87392174488;Forgelite - BCtAction/FFilter/RPlumage/IP:4/GS:4;Frost;KYR;2032021;1;none;1250;750;700;200;200
4882,58496020364;Draven - SIStone/EGloom/ELeader/UC:4/GS:4;Frost;VEN;2032021;1;none;1250;750;700;200;200
4881,0180795761735;Korayn - WHTactics/HotWH/GIForm/AP:4/GS:4;Arcane;FAE;1032021;1;none;1250;750;700;200;200
4873,511457103672;Mari - VSolvvent/OFCoat/PCSlime/UC:4/IP:4;Frost;NEC;2032021;1;none;1250;750;700;200;200
4872,9443688259344;Dream - Ptender/SVoice/DG:4/MB:4;Arcane;FAE;1032021;1;none;1250;750;700;200;200
4870,179416052647;Dream - Ptender/SVoice/DG:4/MB:4/GS:4;Arcane;FAE;1032021;1;none;1250;750;700;200;200
4866,0777452093553;Kleia - VStrikes/Mentor/EForward/IP:4/GS:4;Frost;KYR;2032021;1;none;1250;750;700;200;200
4863,9915203070605;Pelagos - CMed/FMantra/BfFriend/SC:4/IP:4;Frost;KYR;2032021;1;none;1250;750;700;200;200
4854,27573056799;Emeni - LbExample/EMSkin/CLegs/MB:4/GS:4;Arcane;NEC;1032021;1;none;1250;750;700;200;200
4853,3329260061882;Mari - VSolvvent/PPStrike/PCSlime/IP:4/GS:4;Frost;NEC;2032021;1;none;1250;750;700;200;200
4844,7533632950772;Dream - Ptender/SBfly/DG:4;Arcane;FAE;1032021;1;none;1250;750;700;200;200
4841,7553906366438;Dream - Ptender/SBfly/IP:4/GS:4;Frost;FAE;2032021;1;none;1250;750;700;200;200
4839,5028445900516;Emeni - LbExample/EMSkin/CLegs/SC:4/GS:4;Frost;NEC;2032021;1;none;1250;750;700;200;200
4839,5021953280238;Niya - GInvigor/RWTiring/SPatrol/IP:4/GS:4;Frost;FAE;2032021;1;none;1250;750;700;200;200
