DpsMedian;NameProfileset;Spec;Covenant;Talents;Targets;Legendary;Int;Haste;Crit;Mastery;Versatility
6647,1182945701967;Mari - VSolvvent/OFCoat/PCSlime/IP:4/IB:4;Frost;NEC;2032021;1;Split Ice;1250;750;700;200;200
6582,811589376689;Dream - Ptender/SVoice/IP:4/IB:4/GS:4;Frost;FAE;2032021;1;Split Ice;1250;750;700;200;200
6571,7026110886791;Pelagos - CMed/FMantra/BfFriend/IP:4/IB:4;Frost;KYR;2032021;1;Split Ice;1250;750;700;200;200
6567,389054856365;Dream - Ptender/SVoice/IP:4/IB:4;Frost;FAE;2032021;1;Split Ice;1250;750;700;200;200
6182,5813504718844;Nadjia - TSeeker/AChaos/FiLPlaces/IP:4/GS:4;Frost;VEN;2032021;1;Split Ice;1250;750;700;200;200
6164,830659877598;Theotar - SShade/LGait/LotParty/IP:4/GS:4;Frost;VEN;2032021;1;Split Ice;1250;750;700;200;200
6133,6297737373607;Theotar - SShade/LGait/LotParty/IB:4/GS:4;Frost;VEN;2032021;1;Split Ice;1250;750;700;200;200
6111,0314983099788;Nadjia - TSeeker/AChaos/FiLPlaces/IB:4/GS:4;Frost;VEN;2032021;1;Split Ice;1250;750;700;200;200
6095,4745566193724;Emeni - LbExample/EMSkin/CLegs/IB:4/GS:4;Frost;NEC;2032021;1;Split Ice;1250;750;700;200;200
6032,6446698009868;Draven - SIStone/EGloom/ELeader/IP:4/GS:4;Frost;VEN;2032021;1;Split Ice;1250;750;700;200;200
6023,7185088173419;Draven - SIStone/EGloom/ELeader/IB:4/GS:4;Frost;VEN;2032021;1;Split Ice;1250;750;700;200;200
6022,0615842975058;Emeni - LbExample/EMSkin/CLegs/IP:4/GS:4;Frost;NEC;2032021;1;Split Ice;1250;750;700;200;200
5826,8269204003509;Pelagos - CMed/FMantra/BfFriend/IB:4/IA:4;Frost;KYR;2032021;1;Split Ice;1250;750;700;200;200
5821,9312619719076;Korayn - WHTactics/HotWH/GIForm/IB:4/GS:4;Frost;FAE;2032021;1;Split Ice;1250;750;700;200;200
5800,7025596337353;Korayn - WHTactics/HotWH/GIForm/IP:4/GS:4;Frost;FAE;2032021;1;Split Ice;1250;750;700;200;200
5775,1579429384692;Mari - VSolvvent/OFCoat/PCSlime/UC:4/IB:4;Frost;NEC;2032021;1;Split Ice;1250;750;700;200;200
5766,1860326147389;Kleia - VStrikes/Mentor/EForward/IB:4/GS:4;Frost;KYR;2032021;1;Split Ice;1250;750;700;200;200
5765,96552971828;Pelagos - CMed/FMantra/BfFriend/UC:4/IB:4;Frost;KYR;2032021;1;Split Ice;1250;750;700;200;200
5761,6565903551036;Forgelite - BCtAction/FFilter/RPlumage/IB:4/GS:4;Frost;KYR;2032021;1;Split Ice;1250;750;700;200;200
5753,7742624725415;Pelagos - CMed/FMantra/BfFriend/IP:4/IA:4;Frost;KYR;2032021;1;Split Ice;1250;750;700;200;200
5751,5103705258316;Mari - VSolvvent/PPStrike/PCSlime/IB:4/GS:4;Frost;NEC;2032021;1;Split Ice;1250;750;700;200;200
5748,1854291092559;Dream - Ptender/SBfly/IP:4/GS:4;Frost;FAE;2032021;1;Split Ice;1250;750;700;200;200
5743,0970791458849;Mari - VSolvvent/OFCoat/PCSlime/UC:4/IP:4;Frost;NEC;2032021;1;Split Ice;1250;750;700;200;200
5728,20190646734;Mari - VSolvvent/PPStrike/PCSlime/IP:4/GS:4;Frost;NEC;2032021;1;Split Ice;1250;750;700;200;200
5726,4054669148218;Mari - VSolvvent/OFCoat/PCSlime/SC:4/IB:4;Frost;NEC;2032021;1;Split Ice;1250;750;700;200;200
