DpsMedian;NameProfileset;Spec;Covenant;Talents;Targets;Legendary;Int;Haste;Crit;Mastery;Versatility
5808,0795890321961;Nadjia - AChaos/FiLPlaces/FPredic/TSeeker/IP:7/IB:7/GS:7;Frost;VEN;2032021;1;none;1250;750;700;200;200
5779,9021181990647;Theotar - LGait/ToApprec/LotParty/WProp/IP:7/IB:7/GS:7;Frost;VEN;2032021;1;none;1250;750;700;200;200
5779,0444423110212;Nadjia - AChaos/FiLPlaces/DDuelist/TSeeker/IB:7/GS:7;Frost;VEN;2032021;1;none;1250;750;700;200;200
5725,4750513986883;Pelagos - LGtP/FMantra/BfFriend/CMed/IP:7/IB:7/GS:7;Frost;KYR;2032021;1;none;1250;750;700;200;200
5713,3100562315858;Pelagos - LGtP/FMantra/BfFriend/CMed/IP:7/IB:7;Frost;KYR;2032021;1;none;1250;750;700;200;200
5703,9326476447313;Draven - ELeader/HYGround/MAOne/SIStone/IP:7/IB:7;Frost;VEN;2032021;1;none;1250;750;700;200;200
5698,6301597052488;Draven - ELeader/HYGround/EGloom/SIStone/IP:7/IB:7/GS:7;Frost;VEN;2032021;1;none;1250;750;700;200;200
5669,8343716802456;Nadjia - AChaos/FiLPlaces/FPredic/TSeeker/IB:7/SM:7/GS:7;Frost;VEN;2032021;1;none;1250;750;700;200;200
5655,60579596048;Nadjia - AChaos/FiLPlaces/FPredic/TSeeker/UC:7/IB:7/GS:7;Frost;VEN;2032021;1;none;1250;750;700;200;200
5645,67034004542;Emeni - EMSkin/GrToes/CLegs/LbExample/IP:7/IB:7/GS:7;Frost;NEC;2032021;1;none;1250;750;700;200;200
5640,4733647642624;Theotar - LGait/ToApprec/LotParty/WProp/IB:7/SM:7/GS:7;Frost;VEN;2032021;1;none;1250;750;700;200;200
5635,7216821252377;Theotar - LGait/SShade/LotParty/WProp/IB:7/GS:7;Frost;VEN;2032021;1;none;1250;750;700;200;200
5624,1457426110019;Theotar - LGait/ToApprec/LotParty/WProp/UC:7/IB:7/GS:7;Frost;VEN;2032021;1;none;1250;750;700;200;200
5608,8518556990448;Nadjia - AChaos/FiLPlaces/EPreparation/TSeeker/IB:7/GS:7;Frost;VEN;2032021;1;none;1250;750;700;200;200
5604,4197089074578;Pelagos - LGtP/FMantra/BfFriend/CMed/IB:7/IA:7/GS:7;Frost;KYR;2032021;1;none;1250;750;700;200;200
5585,1161709100725;Draven - ELeader/HYGround/MAOne/SIStone/IB:7/SM:7;Frost;VEN;2032021;1;none;1250;750;700;200;200
5580,937769221694;Theotar - LGait/RPalate/LotParty/WProp/IB:7/GS:7;Frost;VEN;2032021;1;none;1250;750;700;200;200
5580,5812801206594;Pelagos - LGtP/FMantra/BfFriend/CMed/IB:7/IA:7;Frost;KYR;2032021;1;none;1250;750;700;200;200
5577,7561208801062;Draven - ELeader/HYGround/EGloom/SIStone/IB:7/SM:7/GS:7;Frost;VEN;2032021;1;none;1250;750;700;200;200
5572,9840455763615;Pelagos - LGtP/FMantra/BfFriend/CMed/UC:7/IB:7/GS:7;Frost;KYR;2032021;1;none;1250;750;700;200;200
