DpsMedian;NameProfileset;Spec;Covenant;Talents;Targets;Legendary;Int;Haste;Crit;Mastery;Versatility
9110,1063829889044;Theotar - SShade/LGait/LotParty/IB:4/GS:4;Frost;VEN;2032021;1;none;2000;600;600;600;600
9093,3863081253912;Nadjia - TSeeker/AChaos/FiLPlaces/IB:4/GS:4;Frost;VEN;2032021;1;none;2000;600;600;600;600
9010,671921976058;Emeni - LbExample/EMSkin/CLegs/IB:4/GS:4;Frost;NEC;2032021;1;none;2000;600;600;600;600
8948,635759091012;Draven - SIStone/EGloom/ELeader/IB:4/GS:4;Frost;VEN;2032021;1;none;2000;600;600;600;600
8913,7295869315676;Pelagos - CMed/FMantra/BfFriend/IP:4/IB:4;Frost;KYR;2032021;1;none;2000;600;600;600;600
8859,21276795539;Mari - VSolvvent/OFCoat/PCSlime/IP:4/IB:4;Frost;NEC;2032021;1;none;2000;600;600;600;600
8781,262282648675;Dream - Ptender/SVoice/IP:4/IB:4/GS:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
8766,1766414667836;Dream - Ptender/SVoice/IP:4/IB:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
8646,8796065681581;Pelagos - CMed/FMantra/BfFriend/IB:4/IA:4;Frost;KYR;2032021;1;none;2000;600;600;600;600
8575,6543653284043;Korayn - WHTactics/HotWH/GIForm/IB:4/GS:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
8556,0384779849355;Forgelite - BCtAction/FFilter/RPlumage/IB:4/GS:4;Frost;KYR;2032021;1;none;2000;600;600;600;600
8546,8932690554;Pelagos - CMed/FMantra/BfFriend/UC:4/IB:4;Frost;KYR;2032021;1;none;2000;600;600;600;600
8545,5341557735355;Mari - VSolvvent/OFCoat/PCSlime/UC:4/IB:4;Frost;NEC;2032021;1;none;2000;600;600;600;600
8539,7780506930867;Kleia - VStrikes/Mentor/EForward/IB:4/GS:4;Frost;KYR;2032021;1;none;2000;600;600;600;600
8505,7467276557545;Mari - VSolvvent/PPStrike/PCSlime/IB:4/GS:4;Frost;NEC;2032021;1;none;2000;600;600;600;600
8477,2590231677259;Pelagos - CMed/FMantra/BfFriend/SC:4/IB:4;Frost;KYR;2032021;1;none;2000;600;600;600;600
8469,7061270640861;Mari - VSolvvent/OFCoat/PCSlime/SC:4/IB:4;Frost;NEC;2032021;1;none;2000;600;600;600;600
8468,0491559764632;Heirmir - FReveries/RFlesh/RSpurs/IB:4/GS:4;Frost;NEC;2032021;1;none;2000;600;600;600;600
8460,1361553086826;Dream - Ptender/SBfly/IB:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
8457,3427073100811;Dream - Ptender/SBfly/IB:4/GS:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
8420,2547298030549;Niya - GInvigor/RWTiring/SPatrol/IB:4/GS:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
8419,6010334477833;Dream - Ptender/SVoice/UC:4/IB:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
8418,9937078452949;Dream - Ptender/SVoice/UC:4/IB:4/GS:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
8393,3835930372643;Nadjia - TSeeker/AChaos/FiLPlaces/IP:4/GS:4;Frost;VEN;2032021;1;none;2000;600;600;600;600
8359,469594252334;Theotar - SShade/LGait/LotParty/IP:4/GS:4;Frost;VEN;2032021;1;none;2000;600;600;600;600
8345,8771191706965;Dream - Ptender/SVoice/IB:4/DG:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
8345,22105583138;Dream - Ptender/SVoice/IB:4/DG:4/GS:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
8342,5037572181845;Dream - Ptender/SVoice/SC:4/IB:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
8330,9566088059855;Dream - Ptender/SVoice/SC:4/IB:4/GS:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
8199,02853355437;Draven - SIStone/EGloom/ELeader/IP:4/GS:4;Frost;VEN;2032021;1;none;2000;600;600;600;600
8182,4672873976069;Korayn - WHTactics/HotWH/GIForm/AP:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
8154,6998629278069;Korayn - WHTactics/HotWH/GIForm/MB:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
8137,2255803585867;Korayn - WHTactics/HotWH/GIForm/DG:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
8114,187841920595;Dream - Ptender/SVoice/AP:4/MB:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
8097,1666599377941;Emeni - LbExample/EMSkin/CLegs/MB:4/GS:4;Arcane;NEC;1032021;1;none;2000;600;600;600;600
8096,5849541800553;Emeni - LbExample/EMSkin/CLegs/IP:4/GS:4;Frost;NEC;2032021;1;none;2000;600;600;600;600
8083,7105793355358;Dream - Ptender/SVoice/DG:4/MB:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
8082,0130560000043;Dream - Ptender/SVoice/AP:4/MB:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
8074,1080273173848;Dream - Ptender/SVoice/DG:4/MB:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
8066,0854949971354;Korayn - WHTactics/HotWH/GIForm/NP:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
8057,5916567438644;Dream - Ptender/SBfly/AP:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
8041,87750291988;Theotar - SShade/LGait/LotParty/SM:4/GS:4;Frost;VEN;2032021;1;none;2000;600;600;600;600
8028,5469151358;Dream - Ptender/SBfly/AP:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
8021,8351977440934;Dream - Ptender/SBfly/MB:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
8018,6747456104367;Korayn - WHTactics/HotWH/GIForm/AA:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
8015,7723948458261;Emeni - LbExample/EMSkin/CLegs/NP:4/GS:4;Arcane;NEC;1032021;1;none;2000;600;600;600;600
8012,6296676836346;Dream - Ptender/SVoice/AP:4/NP:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
8011,0446172531629;Emeni - LbExample/EMSkin/CLegs/AP:4/GS:4;Arcane;NEC;1032021;1;none;2000;600;600;600;600
8008,2029448465319;Nadjia - TSeeker/AChaos/FiLPlaces/SM:4/GS:4;Frost;VEN;2032021;1;none;2000;600;600;600;600
8005,4028587265275;Dream - Ptender/SBfly/MB:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
8001,2551761159293;Dream - Ptender/SBfly/DG:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7998,4314014494666;Dream - Ptender/SBfly/DG:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7994,8895520798442;Niya - GInvigor/RWTiring/SPatrol/AP:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7989,6924956192788;Dream - Ptender/SVoice/AP:4/NP:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7987,5991654330073;Dream - Ptender/SVoice/NP:4/MB:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7984,5712778059251;Theotar - SShade/LGait/LotParty/UC:4/GS:4;Frost;VEN;2032021;1;none;2000;600;600;600;600
7969,4412828212107;Dream - Ptender/SVoice/NP:4/MB:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7969,0963636334118;Niya - GInvigor/RWTiring/SPatrol/MB:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7968,4922056814275;Dream - Ptender/SVoice/NP:4/DG:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7965,6509702915228;Dream - Ptender/SVoice/NP:4/DG:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7958,6559007822625;Niya - GInvigor/RWTiring/SPatrol/DG:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7950,3086704236493;Emeni - LbExample/EMSkin/CLegs/AA:4/GS:4;Arcane;NEC;1032021;1;none;2000;600;600;600;600
7949,35975465034;Nadjia - TSeeker/AChaos/FiLPlaces/UC:4/GS:4;Frost;VEN;2032021;1;none;2000;600;600;600;600
7944,8863744535884;Pelagos - CMed/FMantra/BfFriend/IA:4/MB:4;Arcane;KYR;1032021;1;none;2000;600;600;600;600
7940,766170678874;Dream - Ptender/SVoice/AP:4/AA:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7932,8020733419362;Dream - Ptender/SVoice/AP:4/AA:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7925,0981815330551;Dream - Ptender/SVoice/AP:4/DG:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7923,2534775391359;Dream - Ptender/SVoice/MB:4/AA:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7923,0833435600489;Dream - Ptender/SVoice/DG:4/AA:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7922,0214871792;Pelagos - CMed/FMantra/BfFriend/IP:4/IA:4;Frost;KYR;2032021;1;none;2000;600;600;600;600
7916,2375230243233;Dream - Ptender/SVoice/MB:4/AA:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7916,20859249997;Dream - Ptender/SVoice/AP:4/DG:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7912,7409817667694;Dream - Ptender/SVoice/DG:4/AA:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7906,0580180464312;Emeni - LbExample/EMSkin/CLegs/UC:4/GS:4;Frost;NEC;2032021;1;none;2000;600;600;600;600
7905,2097362733484;Dream - Ptender/SBfly/NP:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7900,6850946694212;Dream - Ptender/SBfly/NP:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7891,2089329163246;Draven - SIStone/EGloom/ELeader/SM:4/GS:4;Frost;VEN;2032021;1;none;2000;600;600;600;600
7879,3153959801039;Niya - GInvigor/RWTiring/SPatrol/NP:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7874,6347066367844;Theotar - SShade/LGait/LotParty/SC:4/GS:4;Frost;VEN;2032021;1;none;2000;600;600;600;600
7873,9419299471092;Korayn - WHTactics/HotWH/GIForm/IP:4/GS:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
7871,5098639916887;Nadjia - TSeeker/AChaos/FiLPlaces/SC:4/GS:4;Frost;VEN;2032021;1;none;2000;600;600;600;600
7866,4828885191109;Theotar - SShade/LGait/LotParty/MB:4/GS:4;Arcane;VEN;1032021;1;none;2000;600;600;600;600
7848,6550538474849;Dream - Ptender/SBfly/AA:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7843,1109904424447;Pelagos - CMed/FMantra/BfFriend/NP:4/IA:4;Arcane;KYR;1032021;1;none;2000;600;600;600;600
7842,8976089439748;Theotar - SShade/LGait/LotParty/SM:4/GS:4;Arcane;VEN;1032021;1;none;2000;600;600;600;600
7842,67274411785;Dream - Ptender/SBfly/AA:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7839,4491813320356;Pelagos - CMed/FMantra/BfFriend/NP:4/MB:4;Arcane;KYR;1032021;1;none;2000;600;600;600;600
7836,9214816716049;Draven - SIStone/EGloom/ELeader/UC:4/GS:4;Frost;VEN;2032021;1;none;2000;600;600;600;600
7834,5900806163063;Pelagos - CMed/FMantra/BfFriend/UC:4/IP:4;Frost;KYR;2032021;1;none;2000;600;600;600;600
7832,35405929201;Dream - Ptender/SVoice/NP:4/AA:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7819,5386778595639;Dream - Ptender/SVoice/NP:4/AA:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7815,84509883956;Niya - GInvigor/RWTiring/SPatrol/AA:4/GS:4;Arcane;FAE;1032021;1;none;2000;600;600;600;600
7810,7755750697388;Theotar - SShade/LGait/LotParty/AP:4/GS:4;Arcane;VEN;1032021;1;none;2000;600;600;600;600
7802,7640173555146;Nadjia - TSeeker/AChaos/FiLPlaces/SM:4/GS:4;Arcane;VEN;1032021;1;none;2000;600;600;600;600
7801,7333744561065;Nadjia - TSeeker/AChaos/FiLPlaces/MB:4/GS:4;Arcane;VEN;1032021;1;none;2000;600;600;600;600
7799,7756488410841;Pelagos - CMed/FMantra/BfFriend/IA:4/AA:4;Arcane;KYR;1032021;1;none;2000;600;600;600;600
7796,826810859714;Emeni - LbExample/EMSkin/CLegs/SC:4/GS:4;Frost;NEC;2032021;1;none;2000;600;600;600;600
7796,3171471667;Forgelite - BCtAction/FFilter/RPlumage/IP:4/GS:4;Frost;KYR;2032021;1;none;2000;600;600;600;600
7780,8152402685064;Mari - VSolvvent/OFCoat/PCSlime/UC:4/IP:4;Frost;NEC;2032021;1;none;2000;600;600;600;600
7772,0090211820561;Pelagos - CMed/FMantra/BfFriend/MB:4/AA:4;Arcane;KYR;1032021;1;none;2000;600;600;600;600
7767,3235274968811;Pelagos - CMed/FMantra/BfFriend/SC:4/IP:4;Frost;KYR;2032021;1;none;2000;600;600;600;600
7765,2374094528013;Kleia - VStrikes/Mentor/EForward/IP:4/GS:4;Frost;KYR;2032021;1;none;2000;600;600;600;600
7762,2238128244917;Draven - SIStone/EGloom/ELeader/SC:4/GS:4;Frost;VEN;2032021;1;none;2000;600;600;600;600
7756,51646243961;Mari - VSolvvent/PPStrike/PCSlime/IP:4/GS:4;Frost;NEC;2032021;1;none;2000;600;600;600;600
7751,5292270064874;Theotar - SShade/LGait/LotParty/NP:4/GS:4;Arcane;VEN;1032021;1;none;2000;600;600;600;600
7751,4693407822206;Forgelite - BCtAction/FFilter/RPlumage/IA:4/GS:4;Arcane;KYR;1032021;1;none;2000;600;600;600;600
7740,8446093611483;Pelagos - CMed/FMantra/BfFriend/AP:4/IA:4;Arcane;KYR;1032021;1;none;2000;600;600;600;600
7739,9169980081087;Nadjia - TSeeker/AChaos/FiLPlaces/AP:4/GS:4;Arcane;VEN;1032021;1;none;2000;600;600;600;600
7735,2975096017863;Dream - Ptender/SBfly/IP:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
7734,1744602795616;Kleia - VStrikes/Mentor/EForward/IA:4/GS:4;Arcane;KYR;1032021;1;none;2000;600;600;600;600
7731,0843533943407;Nadjia - TSeeker/AChaos/FiLPlaces/NP:4/GS:4;Arcane;VEN;1032021;1;none;2000;600;600;600;600
7725,24930120341;Kleia - VStrikes/Mentor/EForward/MB:4/GS:4;Arcane;KYR;1032021;1;none;2000;600;600;600;600
7724,049680875537;Forgelite - BCtAction/FFilter/RPlumage/MB:4/GS:4;Arcane;KYR;1032021;1;none;2000;600;600;600;600
7718,9590464503344;Dream - Ptender/SBfly/IP:4/GS:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
7717,0541516612111;Dream - Ptender/SVoice/UC:4/IP:4/GS:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
7715,3796060221994;Heirmir - FReveries/RFlesh/RSpurs/IP:4/GS:4;Frost;NEC;2032021;1;none;2000;600;600;600;600
7710,2702908278616;Theotar - SShade/LGait/LotParty/AA:4/GS:4;Arcane;VEN;1032021;1;none;2000;600;600;600;600
7706,2935648498378;Mari - VSolvvent/OFCoat/PCSlime/SC:4/IP:4;Frost;NEC;2032021;1;none;2000;600;600;600;600
7702,6007423506662;Dream - Ptender/SVoice/UC:4/IP:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
7700,8570153175115;Draven - SIStone/EGloom/ELeader/MB:4/GS:4;Arcane;VEN;1032021;1;none;2000;600;600;600;600
7699,7307230926335;Niya - GInvigor/RWTiring/SPatrol/IP:4/GS:4;Frost;FAE;2032021;1;none;2000;600;600;600;600
7699,4475975817977;Draven - SIStone/EGloom/ELeader/SM:4/GS:4;Arcane;VEN;1032021;1;none;2000;600;600;600;600
7692,9823666708553;Mari - VSolvvent/PPStrike/PCSlime/MB:4/GS:4;Arcane;NEC;1032021;1;none;2000;600;600;600;600
